[2024-02-03T03:06:02.356+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-02-02T00:00:00+00:00 [queued]>
[2024-02-03T03:06:02.363+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-02-02T00:00:00+00:00 [queued]>
[2024-02-03T03:06:02.363+0000] {taskinstance.py:2171} INFO - Starting attempt 1 of 1
[2024-02-03T03:06:02.378+0000] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): get_data> on 2024-02-02 00:00:00+00:00
[2024-02-03T03:06:02.384+0000] {standard_task_runner.py:60} INFO - Started process 2367 to run task
[2024-02-03T03:06:02.386+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'play_with_***_connections_and_hooks', 'get_data', 'scheduled__2024-02-02T00:00:00+00:00', '--job-id', '182', '--raw', '--subdir', 'DAGS_FOLDER/play_with_***_connections_and_hooks.py', '--cfg-path', '/tmp/tmp986ls514']
[2024-02-03T03:06:02.388+0000] {standard_task_runner.py:88} INFO - Job 182: Subtask get_data
[2024-02-03T03:06:02.431+0000] {task_command.py:423} INFO - Running <TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-02-02T00:00:00+00:00 [running]> on host 5492b4f8fab8
[2024-02-03T03:06:02.507+0000] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='play_with_***_connections_and_hooks' AIRFLOW_CTX_TASK_ID='get_data' AIRFLOW_CTX_EXECUTION_DATE='2024-02-02T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-02-02T00:00:00+00:00'
[2024-02-03T03:06:02.514+0000] {base.py:83} INFO - Using connection ID 'my_***_conn' for task execution.
[2024-02-03T03:06:02.631+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statistic', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.632+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_type', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.632+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_foreign_table', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.632+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_authid', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.632+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_shadow', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.633+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_roles', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.633+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statistic_ext_data', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.633+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_hba_file_rules', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.633+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_settings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.634+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_file_settings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.634+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_backend_memory_contexts', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.634+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_ident_file_mappings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.634+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_config', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.634+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_shmem_allocations', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.635+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.635+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_user_mapping', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.635+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_replication_origin_status', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.635+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_subscription', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.635+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_attribute', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.636+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_proc', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.636+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_class', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.636+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_attrdef', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.636+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_constraint', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.636+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_inherits', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.637+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_index', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.637+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_operator', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.637+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_all_sequences', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.637+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_opfamily', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.637+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_opclass', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.638+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_am', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.638+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_amop', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.638+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_amproc', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.638+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_language', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.638+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_largeobject_metadata', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.639+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_aggregate', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.640+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statistic_ext', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.640+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_rewrite', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.640+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_trigger', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.640+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_event_trigger', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.640+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_description', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.640+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_cast', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.641+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_enum', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.641+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_namespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.641+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_conversion', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.641+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_depend', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.641+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_database', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.642+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_db_role_setting', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.642+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_tablespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.642+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_auth_members', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.642+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_shdepend', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.643+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_shdescription', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.643+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_ts_config', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.643+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_ts_config_map', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.643+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_ts_dict', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.643+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_ts_parser', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.644+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_ts_template', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.644+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_extension', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.644+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_foreign_data_wrapper', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.645+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_foreign_server', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.645+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_policy', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.645+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_replication_origin', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.645+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_default_acl', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.646+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_init_privs', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.646+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_seclabel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.646+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_shseclabel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.647+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_collation', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.647+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_parameter_acl', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.647+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_partitioned_table', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.647+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_range', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.648+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_transform', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.648+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_sequence', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.648+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_publication', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.649+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_publication_namespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.649+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_publication_rel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.649+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_subscription_rel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.649+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_group', 'VIEW', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.649+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_user', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.650+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_policies', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.650+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_rules', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.650+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_views', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.651+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_matviews', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.651+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.651+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_sequences', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.651+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stats', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.652+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stats_ext', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.652+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stats_ext_exprs', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.652+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_publication_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.652+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_locks', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.652+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_cursors', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.653+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_available_extensions', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.653+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_available_extension_versions', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.653+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_prepared_xacts', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.653+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_prepared_statements', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.653+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_seclabels', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.654+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_timezone_abbrevs', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.654+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_timezone_names', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.654+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_all_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.654+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_xact_all_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.654+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_xact_user_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.655+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_sys_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.655+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_xact_sys_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.655+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_user_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.655+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_all_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.655+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_sys_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.656+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_user_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.656+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_all_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.656+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_sys_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.656+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_user_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.657+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_all_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.657+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_sys_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.657+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_user_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.657+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_sys_sequences', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.657+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_user_sequences', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.658+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_activity', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.658+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_replication', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.658+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_slru', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.658+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_wal_receiver', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.658+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_recovery_prefetch', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.659+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_subscription', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.659+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_ssl', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.659+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_gssapi', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.659+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_replication_slots', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.660+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_replication_slots', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.660+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_database', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.660+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_database_conflicts', 'VIEW', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-03T03:06:02.660+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_user_functions', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.660+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_xact_user_functions', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.661+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_archiver', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.661+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_bgwriter', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-03T03:06:02.661+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_io', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
