[2024-02-10T03:23:13.897+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-02-09T00:00:00+00:00 [queued]>
[2024-02-10T03:23:13.915+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-02-09T00:00:00+00:00 [queued]>
[2024-02-10T03:23:13.915+0000] {taskinstance.py:2171} INFO - Starting attempt 2 of 2
[2024-02-10T03:23:13.935+0000] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): get_data> on 2024-02-09 00:00:00+00:00
[2024-02-10T03:23:13.942+0000] {standard_task_runner.py:60} INFO - Started process 693 to run task
[2024-02-10T03:23:13.946+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'play_with_***_connections_and_hooks', 'get_data', 'scheduled__2024-02-09T00:00:00+00:00', '--job-id', '228', '--raw', '--subdir', 'DAGS_FOLDER/play_with_***_connections_and_hooks.py', '--cfg-path', '/tmp/tmps_ckggc6']
[2024-02-10T03:23:13.948+0000] {standard_task_runner.py:88} INFO - Job 228: Subtask get_data
[2024-02-10T03:23:13.992+0000] {task_command.py:423} INFO - Running <TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-02-09T00:00:00+00:00 [running]> on host 136cb87801be
[2024-02-10T03:23:14.067+0000] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='play_with_***_connections_and_hooks' AIRFLOW_CTX_TASK_ID='get_data' AIRFLOW_CTX_EXECUTION_DATE='2024-02-09T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-02-09T00:00:00+00:00'
[2024-02-10T03:23:14.074+0000] {base.py:83} INFO - Using connection ID 'my_***_conn' for task execution.
[2024-02-10T03:23:14.499+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statistic', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.500+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_type', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.501+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_foreign_table', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.501+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_authid', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.502+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_shadow', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.503+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_roles', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.503+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statistic_ext_data', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.504+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_hba_file_rules', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.504+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_settings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.505+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_file_settings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.505+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_backend_memory_contexts', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.506+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_ident_file_mappings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.506+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_config', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.507+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_shmem_allocations', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.507+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.508+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_user_mapping', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.508+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_replication_origin_status', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.509+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_subscription', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.510+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_attribute', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.511+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_proc', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.511+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_class', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.512+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_attrdef', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.512+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_constraint', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.513+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_inherits', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.513+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_index', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.514+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_operator', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.514+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_all_sequences', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.515+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_opfamily', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.515+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_opclass', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.516+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_am', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.516+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_amop', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.517+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_amproc', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.517+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_language', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.518+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_largeobject_metadata', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.518+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_aggregate', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.519+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statistic_ext', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.519+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_rewrite', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.520+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_trigger', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.520+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_event_trigger', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.521+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_description', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.521+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_cast', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.522+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_enum', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.523+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_namespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.523+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_conversion', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.524+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_depend', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.524+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_database', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.525+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_db_role_setting', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
