[2024-03-02T03:35:51.906+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-03-01T00:00:00+00:00 [queued]>
[2024-03-02T03:35:51.918+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-03-01T00:00:00+00:00 [queued]>
[2024-03-02T03:35:51.923+0000] {taskinstance.py:2171} INFO - Starting attempt 1 of 1
[2024-03-02T03:35:51.953+0000] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): get_data> on 2024-03-01 00:00:00+00:00
[2024-03-02T03:35:51.961+0000] {standard_task_runner.py:60} INFO - Started process 198 to run task
[2024-03-02T03:35:51.968+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'play_with_***_connections_and_hooks', 'get_data', 'scheduled__2024-03-01T00:00:00+00:00', '--job-id', '372', '--raw', '--subdir', 'DAGS_FOLDER/play_with_***_connections_and_hooks.py', '--cfg-path', '/tmp/tmpriyue0el']
[2024-03-02T03:35:51.970+0000] {standard_task_runner.py:88} INFO - Job 372: Subtask get_data
[2024-03-02T03:35:52.075+0000] {task_command.py:423} INFO - Running <TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-03-01T00:00:00+00:00 [running]> on host 77d045abac79
[2024-03-02T03:35:52.345+0000] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='play_with_***_connections_and_hooks' AIRFLOW_CTX_TASK_ID='get_data' AIRFLOW_CTX_EXECUTION_DATE='2024-03-01T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-01T00:00:00+00:00'
[2024-03-02T03:35:52.393+0000] {base.py:83} INFO - Using connection ID 'my_***_conn' for task execution.
[2024-03-02T03:35:52.975+0000] {logging_mixin.py:188} INFO - ('***', 'public', 'weathers', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-02T03:35:52.976+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statistic', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-02T03:35:52.976+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_type', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-02T03:35:52.977+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_foreign_table', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-02T03:35:52.977+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_authid', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-02T03:35:52.978+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_shadow', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-02T03:35:52.978+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_roles', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-02T03:35:52.979+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statistic_ext_data', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-02T03:35:52.980+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_hba_file_rules', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-02T03:35:52.981+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_settings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-02T03:35:52.983+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_file_settings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-02T03:35:52.983+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_backend_memory_contexts', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-02T03:35:52.984+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_ident_file_mappings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-02T03:35:52.984+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_config', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-02T03:35:52.985+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_shmem_allocations', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-02T03:35:52.986+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-02T03:35:52.986+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_user_mapping', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-02T03:35:52.987+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_replication_origin_status', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-02T03:35:52.987+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_subscription', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-02T03:35:52.988+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_attribute', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-02T03:35:52.988+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_proc', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-02T03:35:52.989+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_class', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-02T03:35:52.989+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_attrdef', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-02T03:35:52.990+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_constraint', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-02T03:35:52.990+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_inherits', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-02T03:35:52.991+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_index', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-02T03:35:52.991+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_operator', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
