[2024-03-09T02:28:15.394+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-03-08T00:00:00+00:00 [queued]>
[2024-03-09T02:28:15.408+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-03-08T00:00:00+00:00 [queued]>
[2024-03-09T02:28:15.408+0000] {taskinstance.py:2171} INFO - Starting attempt 1 of 1
[2024-03-09T02:28:15.443+0000] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): get_data> on 2024-03-08 00:00:00+00:00
[2024-03-09T02:28:15.451+0000] {standard_task_runner.py:60} INFO - Started process 197 to run task
[2024-03-09T02:28:15.460+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'play_with_***_connections_and_hooks', 'get_data', 'scheduled__2024-03-08T00:00:00+00:00', '--job-id', '384', '--raw', '--subdir', 'DAGS_FOLDER/play_with_***_connections_and_hooks.py', '--cfg-path', '/tmp/tmp1dpjjp_k']
[2024-03-09T02:28:15.464+0000] {standard_task_runner.py:88} INFO - Job 384: Subtask get_data
[2024-03-09T02:28:15.618+0000] {task_command.py:423} INFO - Running <TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-03-08T00:00:00+00:00 [running]> on host fd2175856160
[2024-03-09T02:28:15.943+0000] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='play_with_***_connections_and_hooks' AIRFLOW_CTX_TASK_ID='get_data' AIRFLOW_CTX_EXECUTION_DATE='2024-03-08T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-08T00:00:00+00:00'
[2024-03-09T02:28:15.964+0000] {base.py:83} INFO - Using connection ID 'my_***_conn' for task execution.
[2024-03-09T02:28:16.473+0000] {logging_mixin.py:188} INFO - ('***', 'public', 'weathers', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-09T02:28:16.474+0000] {logging_mixin.py:188} INFO - ('***', 'dbt_oz', 'my_first_dbt_model', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-09T02:28:16.475+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statistic', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-09T02:28:16.477+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_type', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-09T02:28:16.477+0000] {logging_mixin.py:188} INFO - ('***', 'dbt_oz', 'my_model', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-09T02:28:16.478+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_foreign_table', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-09T02:28:16.479+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_authid', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-09T02:28:16.480+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_shadow', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-09T02:28:16.481+0000] {logging_mixin.py:188} INFO - ('***', 'dbt_oz', 'stg_weathers', 'VIEW', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-09T02:28:16.482+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_roles', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-09T02:28:16.483+0000] {logging_mixin.py:188} INFO - ('***', 'dbt_oz', 'my_second_dbt_model', 'VIEW', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-09T02:28:16.484+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statistic_ext_data', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-09T02:28:16.484+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_hba_file_rules', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
